High Density Connector,OpenMV,Python,Arduino 1,Arduino 2,Arduino 3,Arduino 4,Original Order,Descriptions
J2-43,,,VCC/+3V3,,,,139,
J2-44,,,GND,,,,99,
J2-45,,,I2C2 SDA,PH12,,,138,
J2-46,,,GPIO 0,PC13,,,98,
J2-47,,,I2C2 SCL,PH11,,,137,
J2-48,GPIO_1,,GPIO 1,PC15,,,97,
J2-49,,,SAI CK,PI5,,,136,
J2-50,,,GPIO 2,PD4,,,96,
J2-51,,,SAI FS,PI7,,,135,
J2-52,,,GPIO 3,PD5,,,95,
J2-53,,,SAI D0,PI6,,,134,
J2-54,,,GPIO 4,PE3,,,94,
J2-55,,,,,,,133,
J2-56,,,GPIO 5,PG3,,,93,
J2-57,,,GND,,,,132,
J2-58,,,GPIO 6,PG10,,,92,
J2-59,PWM0,,PWM 1,PA8,D6,,131,
J2-60,PWM5,,PWM 6,PK1,D1,,91,
J2-61,PWM1,,PWM 2,PC6,D5,,130,
J2-62,PWM6,,PWM 7,PH15,D0,,90,
J2-63,PWM2,,PWM 3,PC7,D4,,129,
J2-64,PWM7,,PWM 8,PJ7,,,89,
J2-65,PWM3,,PWM 4,PG7,D3,,128,
J2-66,PWM8,,PWM 9,PJ10,,,88,
J2-67,PWM4,,PWM 5,PJ11,D2,,127,
J2-68,PWM9,,PWM 10,PH6,,,87,
J2-69,PWM5,,VCC/+3V3,,,,126,
J2-70,,,GND,,,,86,
J2-71,PWM6,,ADC VREF+,,,,125,
J2-72,,,ADC VREF,,,,85,
J2-73,PWM7,PA0   ??,ADC A0,PA0_C,D15,A0,124,
J2-74,,,ADC A4,PC2,D19,A4,84,
J2-75,PWM8,PA1   ??,ADC A1,PA1_C,D16,A1,123,
J2-76,,,ADC A5,PC3,D20,A5,83,
J2-77,PWM9,PA2    ??,ADC A2,PC2_C,D17,A2,122,
J2-78,,,ADC A6,PA4,D21,A6,82,
J2-79,,PA3    ??,ADC A3,PC3_C,D18,A3,121,
J2-80,,,ADC A7,PA6,,,81,
,,,,,,,,
,,,,,,,,
,,,,,,,,
z???,,ETH_RMII_REF_CLK,PA1,,,,,
z???,,ETH_MDIO,PA2,,,,,
z???,,ETH_RMII_CRS_DV,PA7,,,,,
z???,,ETH_MDC,PC1,,,,,
z???,,ETH_RMII_RXD0,PC4,,,,,
z???,,ETH_RMII_RXD1,PC5,,,,,
z???,,ETH_RMII_TX_EN,PG11,,,,,
z???,,ETH_RMII_TXD0,PG13,,,,,
z???,,ETH_RMII_TXD1,PG12,,,,,
z???,,,,,,,,
z???,,USB_HS_CLK,PA5,,,,,
z???,,USB_HS_STP,PC0,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
z???,,,,,,,,
