Pin Numbering,Python Name,Arduin Name1,Arduino Name2,Arduino Name3,Description,Other Names
J2-14,,,,,,
J2-15,,,,,,
J2-16,,,,,,
J2-17,,,,,,
J2-18,,,,,,
J2-19,,,,,,
J2-20,,,,,,
J2-21,,,,,,
J2-22,,,,,,
J2-23,,,,,,
J2-24,,,,,,
J2-25,,,,,,
J2-26,,,,,,
J2-27,,,,,,
J2-28,,,,,,
J2-29,,,,,,
J2-30,,,,,,
J2-31,,,,,,
J2-32,,,,,,
J2-33,,,,,,
J2-34,,,,,,
J2-35,,,,,,
J2-36,,,,,,
J2-37,,,,,,
J2-38,,,,,,
J2-39,,,,,,
J2-40,,,,,,
J2-41,,,,,,
J2-42,,,,,,
J2-43,,,,,,
J2-44,,,,,,
J2-45,,,,,,
J2-46,,,,,,
J2-47,,,,,,
J2-48,,,,,,
J2-49,,,,,,
J2-50,,,,,,
J2-51,,,,,,
J2-52,,,,,,
J2-53,,,,,,
J2-54,,,,,,
J2-55,,,,,,
J2-56,,,,,,
J2-57,,,,,,
J2-58,,,,,,
J2-59,,,,,,
J2-60,,,,,,
J2-61,,,,,,
J2-62,,,,,,
J2-63,,,,,,
J2-64,,,,,,
J2-65,,,,,,
J2-66,,,,,,
J2-67,,,,,,
J2-68,,,,,,
J2-69,,,,,,
J2-70,,,,,,
J2-71,,,,,,
J2-72,,,,,,
J2-73,,,,,,
J2-74,,,,,,
J2-75,,,,,,
J2-76,,,,,,
J2-77,,,,,,
J2-78,,,,,,
J2-79,,,,,,
J2-80,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
 ,,,,,,
